Type,date,visitation,placekey
American,2020-04,24,215
American,2020-04,25,209
American,2020-04,26,143
American,2020-04,27,147
American,2020-04,28,140
American,2020-04,29,105
American,2020-04,30,110
American,2020-04,31,89
American,2020-04,32,80
American,2020-04,33,66
American,2020-04,34,63
American,2020-04,35,65
American,2020-04,36,57
American,2020-04,37,50
American,2020-04,38,47
American,2020-04,39,35
American,2020-04,40,45
American,2020-04,42,29
American,2020-04,44,24
American,2020-04,45,24
American,2020-04,46,19
American,2020-04,52,13
American,2020-04,54,15
American,2020-04,57,8
American,2020-04,60,11
American,2020-04,61,11
American,2020-04,222,1
American,2020-05,2,481472
American,2020-05,3,130800
American,2020-05,4,52197
American,2020-05,5,59738
American,2020-05,6,35482
American,2020-05,7,22044
American,2020-05,8,14667
American,2020-05,9,10265
American,2020-05,10,7337
American,2020-05,11,5341
American,2020-05,12,4185
American,2020-05,13,3271
American,2020-05,14,2665
American,2020-05,15,2167
American,2020-05,16,1733
American,2020-05,17,1485
American,2020-05,18,1232
American,2020-05,19,1023
American,2020-05,20,867
American,2020-05,21,729
American,2020-05,22,663
American,2020-05,23,570
American,2020-05,24,506
American,2020-05,25,413
American,2020-05,26,366
American,2020-05,27,340
American,2020-05,28,310
American,2020-05,29,300
American,2020-05,30,229
American,2020-05,31,207
American,2020-05,32,205
American,2020-05,33,157
American,2020-05,34,131
American,2020-05,35,131
American,2020-05,36,108
American,2020-05,37,114
American,2020-05,38,102
American,2020-05,39,75
American,2020-05,40,88
American,2020-05,43,68
American,2020-05,44,64
American,2020-05,45,39
American,2020-05,46,55
American,2020-05,47,43
American,2020-05,49,28
American,2020-05,51,35
American,2020-05,52,23
American,2020-05,53,28
American,2020-05,54,33
American,2020-05,55,29
American,2020-05,56,22
American,2020-05,57,32
American,2020-05,62,17
American,2020-05,75,5
American,2020-05,77,6
American,2020-05,78,9
American,2020-05,79,7
American,2020-05,90,1
American,2020-05,264,1
American,2020-06,2,642487
American,2020-06,3,175157
American,2020-06,4,70454
American,2020-06,5,83171
American,2020-06,6,50034
American,2020-06,7,31497
American,2020-06,8,20690
American,2020-06,9,14512
American,2020-06,10,10749
American,2020-06,11,8028
American,2020-06,12,6190
American,2020-06,13,4931
American,2020-06,14,3915
American,2020-06,15,3145
American,2020-06,16,2477
American,2020-06,17,2202
American,2020-06,18,1841
American,2020-06,19,1568
American,2020-06,20,1364
American,2020-06,21,1118
American,2020-06,22,955
American,2020-06,23,850
American,2020-06,24,667
American,2020-06,25,613
American,2020-06,26,591
American,2020-06,27,512
American,2020-06,28,425
American,2020-06,29,371
American,2020-06,30,370
American,2020-06,31,308
American,2020-06,32,285
American,2020-06,33,235
American,2020-06,34,233
American,2020-06,35,196
American,2020-06,36,181
American,2020-06,37,178
American,2020-06,38,136
